
 NAM_army_effort:0 "Army Effort"
 NAM_construction_effort:0 "Construction Effort"
 NAM_construction_effort_tt:0 "Not enough building slots for §YCivilian Factories§!"
 NAM_construction_effort_desc:0 "Civilian industrial capacity must not be underestimated even when war looms over the world."
 NAM_production_effort:0 "Armament Effort"
 NAM_production_effort_tt:0 "Not enough building slots for §YMilitary Factory§!"
 NAM_production_effort_desc:0 "If you can build tractors, you can build tanks! We must not allow our military production capacity to lag behind."
 NAM_construction_effort_2:0 "Construction Effort II"
 NAM_construction_effort_2_desc:0 "Continuing to expand our factories will allow us to speed up production of goods for trade and further construction efforts."
 NAM_production_effort_2:0 "Armament Effort II"
 NAM_production_effort_2_desc:0 "Trying to adapt civilian factories to produce military equipment is inefficient. We should focus on preparing military production now."
 NAM_production_effort_3:0 "Armament Effort III"
 NAM_production_effort_3_desc:0 "Continued efforts to expand our military factories are necessary to meet the demands for new equipment."
 NAM_infrastructure_effort:0 "Infrastructure Effort"
 NAM_infrastructure_effort_desc:0 "A country without proper infrastructure cannot pursue advanced projects or constructions."
 NAM_infrastructure_effort_tt:0 "Not enough building slots for §YInfrastructure§!"
 NAM_synth_oil_effort_tt:0 "Not enough building slots for §YSynthetic Refinery§!"
 NAM_infrastructure_effort_2:0 "Infrastructure Effort II"
 NAM_infrastructure_effort_2_desc:0 "Extending our infrastructure further will enable the transports and communications necessary for high-tech clandestine projects."
 NAM_construction_effort_3:0 "Construction Effort III"
 NAM_construction_effort_3_desc:0 "Expansion of our infrastructure network has significantly improved our capacity for construction."
 NAM_nuclear_effort:0 "Nuclear Effort"
 NAM_nuclear_effort_desc:0 "Standing on the edge of a world-changing discovery, we cannot let others light the fire that may one day consume the Earth."
 NAM_extra_tech_slot:0 "Extra Research Slot"
 NAM_extra_tech_slot_desc:0 "Our industrial expansion and other recent advances might allow us to conduct more R&D in parallel."
 NAM_extra_tech_slot_2:0 "Extra Research Slot II"
 NAM_extra_tech_slot_2_desc:0 "The rapid industrialization of our nation has opened up new opportunities in R&D that we should pursue."
 NAM_technology_sharing:0 "Technology Sharing"
 NAM_technology_sharing_desc:0 "By sharing technological advances with our allies, our whole faction will be able to conduct wartime R&D more efficiently."
 NAM_secret_weapons:0 "Secret Weapons"
 NAM_secret_weapons_desc:0 "It is tempting to expend all extra resources into developing tanks and planes, but the secret to winning wars lies in whole new fields of science; electronics, rocketry and nuclear research."
